"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,96.367974,1,96.367974,96.367974,96.367974,"allocate device memory"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "allocate host memory"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,99.121974,1,99.121974,99.121974,99.121974,"allocate host memory"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "allocation"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,0.278120,1,0.278120,0.278120,0.278120,"allocation"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "assemble FE data"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,112.723597,1,112.723597,112.723597,112.723597,"assemble FE data"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "assign new external"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,0.341570,2,0.170785,0.056831,0.284739,"assign new external"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "begin exchange"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,16.375290,201,0.081469,0.067613,0.173179,"begin exchange"
"GPU activities",66.097213,3.671722,201,0.018267,0.013920,0.021408,"[CUDA memcpy DtoH]"
"GPU activities",33.902787,1.883311,201,0.009369,0.002464,0.018400,"_ZN6miniFE20copyElementsToBufferIdiEEvPT_S2_PT0_i"
"API calls",57.024525,5.941306,201,0.029558,0.022808,0.038744,"cudaLaunchKernel"
"API calls",42.975475,4.477555,201,0.022276,0.017060,0.046680,"cudaMemcpyAsync"

==120426==       Range "cgsolve"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,1026.430211,1,1026.430211,1026.430211,1026.430211,"cgsolve"
"GPU activities",77.967647,723.272199,201,3.598369,3.591813,3.665861,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE0ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
